Date,Open,High,Low,Close,Volume
2020/4/10 16:41,-40,10,27,62,38.5
2020/4/10 16:42,-43,-78,29,70,128.5
2020/4/10 16:43,-40,-47,36,72,100.5
2020/4/10 16:44,-44,-32,32,71,83.5
2020/4/10 16:45,-39,-35,36,71,88.5
2020/4/10 16:46,-50,-37,36,71,89
2020/4/10 16:47,-43,-44,30,68,93.5
2020/4/10 16:48,-46,-39,32,69,90.5
2020/4/10 16:49,-42,-37,31,71,88
2020/4/10 16:50,-45,-37,33,71,90
2020/4/10 16:51,-41,-5,33,73,21.5
2020/4/10 16:52,-48,-44,31,0,95
2020/4/10 16:53,-53,-42,29,71,93
2020/4/10 16:54,-48,-41,30,73,92.5
2020/4/10 16:55,-47,-40,31,73,92.5
2020/4/10 16:56,-44,-41,32,74,93.5
2020/4/10 16:57,-47,-41,32,73,93.5
2020/4/10 16:58,-47,-39,30,73,91
2020/4/10 16:59,-45,-39,33,74,92
2020/4/10 17:00,-46,-40,31,73,92
2020/4/10 17:01,-44,-40,34,73,93
2020/4/10 17:02,-48,-39,30,72,90.5
2020/4/10 17:03,-45,-39,32,73,90.5
2020/4/10 17:04,-49,-41,29,71,92
2020/4/10 17:05,-46,-40,30,73,91
2020/4/10 17:06,-47,-39,33,72,91
2020/4/10 17:07,-51,-39,35,71,93
2020/4/10 17:08,-45,-39,33,73,92
2020/4/10 17:09,-52,-40,35,73,93
2020/4/10 17:10,-48,-40,28,71,91
2020/4/10 17:11,-43,-38,35,74,92
2020/4/10 17:12,-48,-38,31,73,90
2020/4/10 17:13,-46,-39,30,73,90
2020/4/10 17:14,-49,-39,31,72,91
2020/4/10 17:15,-46,-38,30,73,89
2020/4/10 17:16,-49,-39,32,72,91
2020/4/10 17:17,-48,-39,30,72,90.5
2020/4/10 17:18,-44,-38,34,73,91
2020/4/10 17:19,-48,-39,30,72,90
2020/4/10 17:20,-47,-39,29,72,89.5
2020/4/10 17:21,-49,-38,33,72,90.5
2020/4/10 17:22,-46,-40,29,72,93
2020/4/10 17:23,-20,-35,40,77,91
2020/4/10 17:24,-48,-39,30,72,90.5
2020/4/10 17:25,-45,-38,31,73,89.5
2020/4/10 17:26,-48,-39,30,72,90
2020/4/10 17:27,-48,-40,31,72,91
2020/4/10 17:28,-50,-41,30,71,92
2020/4/10 17:29,-49,-39,31,72,89
2020/4/10 17:30,-56,-40,13,69,82.5
2020/4/10 17:31,-48,-40,31,72,91
2020/4/10 17:32,-47,-39,29,71,90
2020/4/10 17:33,-44,-39,32,73,91.5
2020/4/10 17:34,-46,-39,30,73,90
2020/4/10 17:35,-45,-39,33,72,92
2020/4/10 17:36,-47,-39,32,73,90.5
2020/4/10 17:37,-48,-39,33,71,92
2020/4/10 17:38,-47,-38,33,73,91
2020/4/10 17:39,-48,-39,31,73,91.5
2020/4/10 17:40,-45,-38,31,74,90
2020/4/10 17:41,-49,-39,31,73,91
2020/4/10 17:42,-47,-37,29,73,88.5
2020/4/10 17:43,-48,-38,34,74,91.5
2020/4/10 17:44,-46,-40,31,73,92.5
2020/4/10 17:45,-43,-37,34,74,90
2020/4/10 17:46,-47,-40,41,72,97.5
2020/4/10 17:47,-44,-38,33,74,90.5
2020/4/10 17:48,-49,-39,31,72,91
2020/4/10 17:49,-47,-38,31,73,90.5
2020/4/10 17:50,-46,-38,34,74,91.5
2020/4/10 17:51,-48,-38,32,73,90
2020/4/10 17:52,-47,-40,29,72,91.5
2020/4/10 17:53,-42,-39,34,74,92
2020/4/10 17:54,-48,-39,30,72,90.5
2020/4/10 17:55,-44,-39,34,73,92.5
2020/4/10 17:56,-47,-38,31,73,90.5
2020/4/10 17:57,-44,-39,31,74,93.5
2020/4/10 17:58,-15,-35,44,78,93.5
2020/4/10 17:59,-47,-39,31,73,91.5
2020/4/10 18:00,-42,-39,35,74,93
2020/4/10 18:01,-48,-39,33,73,93
2020/4/10 18:02,-44,10,33,75,43.5
2020/4/10 18:03,-44,15,35,74,38.5
2020/4/10 18:04,-48,-33,32,72,86
2020/4/10 18:05,-44,-42,32,74,94.5
2020/4/10 18:06,-48,-41,32,73,93.5
2020/4/10 18:07,-47,-39,33,73,92.5
2020/4/10 18:08,-44,-39,34,74,93
2020/4/10 18:09,-46,-39,34,74,92.5
2020/4/10 18:10,-47,-40,30,73,91.5
2020/4/10 18:11,-46,-41,33,73,92.5
2020/4/10 18:12,-50,-42,26,70,91
2020/4/10 18:13,-45,-41,32,72,92
2020/4/10 18:14,-52,-43,29,70,93
2020/4/10 18:15,-47,-43,30,71,94
2020/4/10 18:16,-46,-41,29,72,91.5
2020/4/10 18:17,-50,-32,33,72,83
2020/4/10 18:18,-47,-48,25,69,94.5
2020/4/10 18:19,-51,-47,28,68,95
2020/4/10 18:20,-48,-46,25,68,96.5
2020/4/10 18:21,-43,-39,35,76,93.5
2020/4/10 18:22,-46,-40,32,74,91
2020/4/10 18:23,-52,-45,8,70,85.5
2020/4/10 18:24,-46,-42,33,73,95.5
2020/4/10 18:25,-44,-42,32,74,95
2020/4/10 18:26,-41,-40,36,74,95
2020/4/10 18:27,-46,-40,32,74,94
2020/4/10 18:28,-42,-39,33,76,93
2020/4/10 18:29,-46,-38,35,75,93
2020/4/10 18:30,-44,-39,32,75,92.5
2020/4/10 18:31,-42,-40,35,75,94.5
2020/4/10 18:32,-46,-41,32,74,94
2020/4/10 18:33,-43,-40,34,74,93.5
2020/4/10 18:34,-46,-41,32,73,93.5
2020/4/10 18:35,-45,-42,29,73,94
2020/4/10 18:36,-45,-40,36,75,94
2020/4/10 18:37,-51,-40,35,72,94.5
2020/4/10 18:38,-44,-41,31,74,92.5
2020/4/10 18:39,-47,-42,31,72,94.5
2020/4/10 18:40,-43,-40,31,74,92.5
2020/4/10 18:41,-47,-41,34,74,94
2020/4/10 18:42,-46,-42,29,72,93.5
2020/4/10 18:43,-44,-42,33,74,97.5
2020/4/10 18:44,-44,-39,42,78,97
2020/4/10 18:45,-42,-41,34,74,95.5
2020/4/10 18:46,-49,-40,38,75,95.5
2020/4/10 18:47,-47,-41,32,73,94
2020/4/10 18:48,-43,-41,33,74,93.5
2020/4/10 18:49,-47,-42,31,72,94
2020/4/10 18:50,-45,-46,30,73,97.5
2020/4/10 18:51,-46,-45,29,73,96.5
2020/4/10 18:52,-42,-44,36,74,98.5
2020/4/10 18:53,-52,-44,38,73,100
2020/4/10 18:54,-45,-43,30,74,95
2020/4/10 18:55,-45,-44,35,74,98
2020/4/10 18:56,-45,-45,30,73,96.5
2020/4/10 18:57,-46,-44,34,73,97.5
2020/4/10 18:58,-46,-44,33,73,97.5
2020/4/10 18:59,-45,-45,30,74,98
2020/4/10 19:00,-44,-43,42,76,100.5
2020/4/10 19:01,-45,-44,30,73,96
2020/4/10 19:02,-43,-43,35,74,97
2020/4/10 19:03,-46,-44,32,73,97
2020/4/10 19:04,-41,-44,35,74,98.5
2020/4/10 19:05,-46,-44,33,74,97.5
2020/4/10 19:06,-42,-42,35,74,96.5
2020/4/10 19:07,-42,-44,33,74,96.5
2020/4/10 19:08,-47,-45,31,72,97.5
2020/4/10 19:09,-43,-42,33,74,95
2020/4/10 19:10,-47,-45,33,73,98.5
2020/4/10 19:11,-44,-43,31,74,95.5
2020/4/10 19:12,-42,-44,35,74,98
2020/4/10 19:13,-46,-43,32,73,96
2020/4/10 19:14,-43,-44,31,74,96.5
2020/4/10 19:15,-46,-44,33,74,97.5
